#f7e0a8
#f7caa8
#f7b0a8
#e5f7a8
#d0f7a8
#acff9c
#9cffb4
#9cffd7
#9cffff
#ace4fa
#a7c5fc
#b1a7fc
#d9a7fc
#ffb0ff
#f5b8c1
#fff
